samples,richness,evenness,shannon,simpson,inv_simpson,chao1,PD_whole_tree,treatment
N1628,8486,0.499894745,6.524060809,0.989251734,93.03826571,12604.14286,266.63697,Treatment 3
O0010,6614,0.436059847,5.534169535,0.958166705,23.90440438,9623.421371,209.06716,Treatment 3
O0019,5005,0.465320112,5.718390684,0.982323653,56.57277385,7297.494169,165.61602,Treatment 3
O0024,3191,0.449707677,5.234504227,0.971540033,35.13707503,4047.958333,109.38293,Treatment 3
O0032,2839,0.444471743,5.098609652,0.970773031,34.21497464,4203.017595,100.07081,Treatment 3
o0035,4676,0.374916255,4.570626267,0.927207539,13.73768639,7117.632479,161.55111,Treatment 3
O0049,8903,0.528639713,6.935793126,0.994271812,174.5752774,12491.72774,282.68569,Treatment 3
O0134,1912,0.34082082,3.715242363,0.912424436,11.41871038,2971.215753,78.12854,Treatment 3
O0159,6231,0.464423933,5.854178849,0.984049014,62.69204905,9162.993205,194.96682,Treatment 3
O0162,9321,0.521755334,6.8800062,0.994239822,173.6057338,13434.59783,279.98972,Treatment 3
o0214,5128,0.371085662,4.573326697,0.935678787,15.54697052,7488.318668,172.77414,Treatment 3
o0232,5297,0.498655445,6.168846461,0.990919609,110.1274124,6256.96219,169.11125,Treatment 3
O0241,4850,0.430769809,5.274246051,0.957299437,23.41889519,6714.775353,159.95893,Treatment 3
O0349,6892,0.475488044,6.062808721,0.983073283,59.07820022,9657.244444,215.22114,Treatment 3
O0359,5582,0.457168707,5.690180667,0.979839054,49.60084713,7867.769231,180.57536,Treatment 3
O0478,6051,0.41452214,5.207624186,0.969478421,32.76370481,9607.281457,194.37692,Treatment 3
O0484,6410,0.440932171,5.576076134,0.975991117,41.65125016,9827.380503,215.42517,Treatment 3
o0516,4271,0.462400418,5.576714667,0.983073443,59.07875897,5351.721973,143.60043,Treatment 3
O0546,4290,0.432360389,5.217189883,0.970127131,33.47519169,6215.399054,146.72206,Treatment 3
O0552,3984,0.479138584,5.730498394,0.987254301,78.457838,5505.842505,138.54828,Treatment 3
O0596,5886,0.446461237,5.591066143,0.974555763,39.30163073,9150.094891,193.61392,Treatment 3
O0602,4427,0.457903887,5.546183925,0.98016799,50.42353182,6041.88122,148.42411,Treatment 3
O0616,5303,0.488097561,6.039032484,0.986356284,73.29381694,7413.869894,171.76479,Treatment 3
O0627,4758,0.397546338,4.85648155,0.952111584,20.88187672,7755.371512,162.78895,Treatment 3
O0633,4516,0.43495725,5.280741928,0.972534075,36.40874986,5839.78453,146.00457,Treatment 3
O0654,4163,0.382466241,4.598547606,0.954821772,22.13455549,6720.227723,149.48234,Treatment 3
O0895,5661,0.465792219,5.806957635,0.984337019,63.84480648,8467.679389,178.43191,Treatment 3
O0903,6285,0.492841224,6.218521249,0.987167499,77.92713321,8448.419913,197.40964,Treatment 3
O0923,5452,0.377697866,4.688201148,0.891571203,9.222642221,8101.145161,175.12282,Treatment 3
O0951,6203,0.462629676,5.828555817,0.98296636,58.70735961,9257.225166,207.19764,Treatment 3
O0996,4973,0.455419826,5.592510243,0.982614595,57.51951014,7254.254098,167.53098,Treatment 3
O1002,4538,0.466965701,5.672625035,0.984671165,65.23653026,6445.524752,151.57289,Treatment 3
O1020,6185,0.444994496,5.604508941,0.974160589,38.70057202,8522.094118,192.44769,Treatment 3
O1032,1311,0.498299925,5.160619238,0.97890175,47.39729695,1532.264901,41.44623,Treatment 3
o1049,1994,0.371968368,4.07731255,0.954098819,21.78593194,2888.26,73.9956,Treatment 3
O1141,2695,0.382376352,4.357587507,0.956596123,23.03941638,4515.002392,101.89107,Treatment 3
O1153,7393,0.464702977,5.972336733,0.975381844,40.62042668,10302.81937,228.40182,Treatment 3
O1174,6453,0.473376942,5.990942277,0.984564225,64.78456825,9817.940984,206.25491,Treatment 3
O1177,4223,0.348096667,4.192494539,0.909039422,10.99377364,6674.291859,151.96219,Treatment 3
O1180,7489,0.475534478,6.120393785,0.980430076,51.09881945,10533.43141,235.23927,Treatment 3
O1195,4546,0.435209403,5.287960485,0.973134314,37.22220221,6239.668493,155.41179,Treatment 3
O1239,2949,0.369279507,4.256319334,0.918904724,12.33117453,4632.002681,107.50187,Treatment 3
O1242,3320,0.396828772,4.641693263,0.935858975,15.59064587,4757.50655,109.24189,Treatment 3
O1315,6795,0.471321417,6.000043166,0.984483858,64.44900884,9651.454545,218.39021,Treatment 3
O1475,9502,0.516167932,6.820651052,0.992566114,134.5191523,13527,294.93185,Treatment 3
O1489,1472,0.503840616,5.302197938,0.985412158,68.55023514,1860.172662,50.90164,Treatment 3
O1497,3557,0.415672735,4.903460659,0.967168663,30.4587047,4616.644841,122.22811,Treatment 3
O1526,4434,0.47557281,5.761275941,0.984942282,66.41112379,6249.709677,146.57948,Treatment 3
O1544,8736,0.539343634,7.06149522,0.996762715,308.900804,12767.46324,261.15326,Treatment 3
O1553,6625,0.47730157,6.058725196,0.984877362,66.12602756,9715.006085,205.66262,Treatment 3
o1623,4124,0.468898394,5.631389347,0.981966263,55.45162417,4873.848375,142.21974,Treatment 3
O1634,3786,0.42316743,5.02996218,0.967736983,30.99524095,5402.519841,123.19985,Treatment 3
O1653,4986,0.468938987,5.760290443,0.98439041,64.06318257,7483.929515,166.34085,Treatment 3
P0019,4230,0.36599089,4.408888012,0.912234923,11.39405369,6362.328221,142.71304,Treatment 3
P0022,3434,0.379482917,4.457282754,0.94674836,18.7787643,5293.173913,122.93326,Treatment 3
P0040,6110,0.459227744,5.775687441,0.982066947,55.76295278,9383.201856,197.20178,Treatment 3
P0043,7149,0.453813637,5.81041458,0.974836083,39.73944091,10496.56215,225.89255,Treatment 3
P0055,6535,0.493308016,6.25217175,0.992233551,128.758969,8816.827684,211.06872,Treatment 3
P0105,4815,0.416827849,5.099188497,0.96897448,32.23153072,7361.326733,158.5688,Treatment 3
p0110,3173,0.297123007,3.456025418,0.791654735,4.799725099,4392.537109,114.17164,Treatment 3
P0117,4602,0.425433974,5.176699859,0.95901293,24.39793834,6880.194175,160.66631,Treatment 3
P0123,6696,0.499934929,6.353714915,0.990527778,105.5718554,9775.54171,222.26684,Treatment 3
P0129,4771,0.436056559,5.328644281,0.977144216,43.75260141,7386.537065,162.15973,Treatment 3
